Symbol,ISIN,Company Name,Board,Delisted Date,Type
OENCONNECT,INE669B01012,FCI OEN Connectors Limited,Main Board,2007-09-17,Voluntary Delisting
PAVCI,INE071B01011,Panasonic AVC Networks India Co. Limited.,Main Board,2007-12-14,Voluntary Delisting
ESTL,INE127A01021,Essar Steel Limited,Main Board,2007-12-24,Voluntary Delisting
IGS,INE177B01016,iGate Global Solutions Limited,Main Board,2008-02-04,Voluntary Delisting
BOSCHCHASY,INE053B01019,Bosch Chassis Systems India Ltd.,Main Board,2008-11-07,Voluntary Delisting
PENTACOMMU,INE408A01017,Pentasoft Technologies Limited,Main Board,2009-01-09,Voluntary Delisting
PENTSFWARE,INE202A01014,Pentamedia Graphics Limited,Main Board,2009-01-09,Voluntary Delisting
MALCO,INE223B01026,The Madras Aluminium Co Ltd,Main Board,2009-06-19,Voluntary Delisting
LOTTEINDIA,INE185A01011,Lotte India Corporation Limited,Main Board,2009-07-31,Voluntary Delisting
MATRIXLABS,INE604D01023,Matrix Laboratories Limited,Main Board,2009-08-21,Voluntary Delisting
PEARLGLOBL,INE787B01012,Pearl Global Ltd,Main Board,2009-08-21,Voluntary Delisting
SIGROUPIND,INE547A01012,SI Group - India Limited,Main Board,2009-09-23,Voluntary Delisting
PHILCORP,INE601A01017,PHIL Corporation Limited,Main Board,2010-02-09,Voluntary Delisting
MICRO,INE056A01014,Micro Inks Limited,Main Board,2010-04-13,Voluntary Delisting
HINVDIR,INE800B01013,HSBC InvestDirect (India) Limited,Main Board,2010-07-15,Voluntary Delisting
BINANICEM,INE042H01019,Binani Cement Limited,Main Board,2011-05-30,Voluntary Delisting
UTVSOF,INE507B01022,UTV Software Communications Limited,Main Board,2012-03-16,Voluntary Delisting
CAROLINFO,INE198A01014,Carol Info Services Limited,Main Board,2012-03-19,Voluntary Delisting
NIRMA,INE091A01029,Nirma Limited,Main Board,2012-03-28,Voluntary Delisting
ALFALAVAL,INE427A01017,Alfa Laval (India) Limited,Main Board,2012-04-19,Voluntary Delisting
SHPRE,INE318K01017,Shree Precoated Steels Limited,Main Board,2012-05-10,Voluntary Delisting
PATNI,INE660F01012,Patni Computer Systems Limited,Main Board,2012-05-28,Voluntary Delisting
CHEMPLAST,INE488A01027,Chemplast Sanmar Limited,Main Board,2012-06-25,Voluntary Delisting
BATLIBOI,INE177C01022,Batliboi Limited,Main Board,2012-06-28,Voluntary Delisting
CHETTINAD,INE132B01011,Chettinad Cement Corporation Limited,Main Board,2013-06-07,Voluntary Delisting
FKONCO,INE575G01010,Fresenius Kabi Oncology Limited,Main Board,2014-01-10,Voluntary Delisting
RBN,INE445K01018,Reliance Broadcast Network Limited,Main Board,2014-03-28,Voluntary Delisting
RELMEDIA,INE540B01015,Reliance MediaWorks Limited,Main Board,2014-05-06,Voluntary Delisting
JDORGOCHEM,INE263B01022,JD Orgochem Limited,Main Board,2014-07-18,Voluntary Delisting
PIRGLASS,INE748E01018,Piramal Glass Limited,Main Board,2014-07-28,Voluntary Delisting
NOVOPANIND,INE460B01016,Novopan Industries Limited,Main Board,2014-11-10,Voluntary Delisting
MANJUSHREE,INE435H01015,Manjushree Technopack Limited,Main Board,2015-03-24,Voluntary Delisting
WINSOMEDJ,INE664A01015,Winsome Diamonds and Jewellery Limited,Main Board,2015-03-31,Voluntary Delisting
GSLNOVA,INE787A01022,GSL Nova Petrochemicals Limited,Main Board,2015-04-22,Voluntary Delisting
ESSARPORTS,INE282A01024,Essar Ports Limited,Main Board,2015-12-31,Voluntary Delisting
ESSAROIL,INE011A01019,Essar Oil Limited,Main Board,2016-02-17,Voluntary Delisting
HECINFRA,Not Available,HEC Infra Projects Limited,ITP,2016-02-18,Exit from ITP platform
BIRLACOT,INE655I01024,Birla Cotsyn (India) Limited,Main Board,2016-03-16,Voluntary Delisting
ZENITHCOMP,INE598B01013,Zenith Computers Limited,Main Board,2016-03-18,Voluntary Delisting
GUJSTATFIN,INE944A01011,Gujarat State Financial Corporation,Main Board,2016-03-18,Voluntary Delisting
HUSYS,INE336T01010,Husys Consulting Limited,ITP,2016-06-09,Exit from ITP platform
NOVAIRNSTL,INE220001015,Nova Iron & Steel Ltd,Main Board,2016-07-04,Voluntary Delisting
CMMINFRA,INE289S01013,CMM Infraprojects Limited,ITP,2016-07-05,Exit from ITP platform
SURAJCROP,INE565S01016,Suraj Cropsciences Limited,ITP,2016-07-26,Exit from ITP platform
CHEMOXCHEM,INE448201017,Chemox Chemical Industries Limited,Main Board,2016-08-31,Delisting - Liquidation
GANAPATEXP,INE451501014,Ganapati Exports Limited,Main Board,2016-08-31,Delisting - Liquidation
HINDALLOYS,INE495501012,Hamco Mining & Smelting Limited,Main Board,2016-08-31,Delisting - Liquidation
MANSUKHIND,Not Available,Mansukh Industries Limited,Main Board,2016-08-31,Delisting - Liquidation
MARDIACHEM,INE273B01013,Mardia Chemicals Limited,Main Board,2016-08-31,Delisting - Liquidation
MARDIASTL,INE439D01016,Mardia Steel Limited,Main Board,2016-08-31,Delisting - Liquidation
MOOLEXPORT,INE388601010,Moolchand Exports Limited,Main Board,2016-08-31,Delisting - Liquidation
MOTOROL,INE202601014,Motorol (I) Limited,Main Board,2016-08-31,Delisting - Liquidation
PALPEUGEOT,INE411601011,Pal Peugeot Limited,Main Board,2016-08-31,Delisting - Liquidation
PONNIORISA,INE096D01022,Ponni Sugars (Orissa) Limited,Main Board,2016-08-31,Delisting - Liquidation
PRUDENTCM,INE250501017,Prudential Capital Markets Limited,Main Board,2016-08-31,Delisting - Liquidation
SIVIND,INE639A01017,SIV Industries Limited,Main Board,2016-08-31,Delisting - Liquidation
SMZSCHEM,INE894C01014,SMZS Chemicals Limited,Main Board,2016-08-31,Delisting - Liquidation
VIBRANTINV,INE468101014,Vibrant  Investment and Properties Limited,Main Board,2016-08-31,Delisting - Liquidation
ALPICFIN,INE429A01013,Alpic Finance Limited,Main Board,2016-09-12,Delisting - Liquidation
ARIHANTCOT,INE006001015,Arihant Cotsyn Limited,Main Board,2016-09-12,Delisting - Liquidation
BHUPENIND,INE447401014,BIL Industries Limited,Main Board,2016-09-12,Delisting - Liquidation
BPLREFRIG,INE313A01019,B S Refrigerators Limited,Main Board,2016-09-12,Delisting - Liquidation
BPLSANTECH,INE389A01019,BST Limited,Main Board,2016-09-12,Delisting - Liquidation
CEATFIN,INE481A01014,CFL Capital Financial Services Limited,Main Board,2016-09-12,Delisting - Liquidation
COMPUDYNE,INE531B01014,Compudyne Winosystems Limited,Main Board,2016-09-12,Delisting - Liquidation
CYBERSPACE,INE063B01026,Cyberspace Limited,Main Board,2016-09-12,Delisting - Liquidation
DRIND,INE197B01014,DR Softech & Industries Limited,Main Board,2016-09-12,Delisting - Liquidation
DSJFINCORP,INE069401011,DSJ Finance Corporation Limited,Main Board,2016-09-12,Delisting - Liquidation
ENKTEXFOOD,INE078501017,Enkay Texofood Industries Limited,Main Board,2016-09-12,Delisting - Liquidation
HANILERA,INE021D01012,Hanil Era Textiles Limited,Main Board,2016-09-12,Delisting - Liquidation
PATHEJAFOR,INE234901010,Patheja Forgings & Auto Parts Manufacturers Limited,Main Board,2016-09-12,Delisting - Liquidation
PSTL,INE165H01018,Pyramid Saimira Theatre Limited,Main Board,2016-09-12,Delisting - Liquidation
SNOWCEMIND,INE734A01016,Snowcem India Limited (SIL Business Enterprises Limited),Main Board,2016-09-12,Delisting - Liquidation
SOUNDCRAFT,INE271A01027,Soundcraft Industries Limited,Main Board,2016-09-12,Delisting - Liquidation
SQUAREDBIO,INE964A01019,Origin Agrostar Limited,Main Board,2016-09-12,Delisting - Liquidation
VINCARDS,INE810A01022,Vintage Cards & Creations Limited,Main Board,2016-09-12,Delisting - Liquidation
WOPOLIN,INE986C01018,Wopolin Plastics Limited,Main Board,2016-09-12,Delisting - Liquidation
BENTOLCHEM,INE024601010,Chemox Laboratories Limited,Main Board,2016-11-22,Compulsory Delisting
CEPHAMILK,INE044601016,Cepham Milk Specialities Limited,Main Board,2016-11-22,Compulsory Delisting
DAMANIACM,INE059801014,Damania Capital Markets Limited,Main Board,2016-11-22,Compulsory Delisting
DARTLTD,INE060201014,Dataline and Research Technologies Limited,Main Board,2016-11-22,Compulsory Delisting
GRAPCOGRAN,INE099301017,Grapco Industries Limited,Main Board,2016-11-22,Compulsory Delisting
HMGIND,INE453001013,HMG Industries Limited,Main Board,2016-11-22,Compulsory Delisting
